Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F1,NWOA,5.887123e+03,2.993354e+03,1.648504e+03,1.298057e+04,5.230579e+03
CEC22_F1,NWOA-NM,3.000001e+02,5.536088e-05,3.000000e+02,3.000002e+02,3.000001e+02
CEC22_F1,NWOA-HC,3.000002e+02,1.369658e-04,3.000000e+02,3.000007e+02,3.000001e+02
CEC22_F1,NWOA-PS,3.000002e+02,1.764626e-04,3.000000e+02,3.000010e+02,3.000002e+02
CEC22_F1,NWOA-SA,3.000003e+02,2.195370e-04,3.000000e+02,3.000010e+02,3.000002e+02
CEC22_F2,NWOA,5.997856e+02,2.663712e+02,4.387348e+02,1.947894e+03,5.303920e+02
CEC22_F2,NWOA-NM,4.017878e+02,2.675931e+00,4.000000e+02,4.089161e+02,4.000642e+02
CEC22_F2,NWOA-HC,4.092944e+02,1.986318e+01,4.000000e+02,4.707812e+02,4.002672e+02
CEC22_F2,NWOA-PS,4.079458e+02,1.775310e+01,4.000001e+02,4.712419e+02,4.003455e+02
CEC22_F2,NWOA-SA,4.030418e+02,3.282106e+00,4.000000e+02,4.089162e+02,4.019769e+02
CEC22_F3,NWOA,6.000771e+02,4.911916e-02,6.000129e+02,6.001998e+02,6.000633e+02
CEC22_F3,NWOA-NM,6.000000e+02,2.418697e-09,6.000000e+02,6.000000e+02,6.000000e+02
CEC22_F3,NWOA-HC,6.000000e+02,2.346466e-09,6.000000e+02,6.000000e+02,6.000000e+02
CEC22_F3,NWOA-PS,6.000000e+02,2.913738e-09,6.000000e+02,6.000000e+02,6.000000e+02
CEC22_F3,NWOA-SA,6.000000e+02,2.614605e-09,6.000000e+02,6.000000e+02,6.000000e+02
CEC22_F4,NWOA,8.758016e+02,2.394121e+01,8.400000e+02,9.345167e+02,8.760098e+02
CEC22_F4,NWOA-NM,8.254679e+02,8.823030e+00,8.120016e+02,8.480011e+02,8.220001e+02
CEC22_F4,NWOA-HC,8.248676e+02,8.077164e+00,8.120002e+02,8.460000e+02,8.240015e+02
CEC22_F4,NWOA-PS,8.276915e+02,9.850556e+00,8.120016e+02,8.540000e+02,8.260013e+02
CEC22_F4,NWOA-SA,8.214277e+02,8.175730e+00,8.043208e+02,8.400000e+02,8.210018e+02
CEC22_F5,NWOA,9.017318e+02,1.122107e+00,9.002766e+02,9.045747e+02,9.015297e+02
CEC22_F5,NWOA-NM,9.003281e+02,6.442803e-01,9.000000e+02,9.028544e+02,9.000008e+02
CEC22_F5,NWOA-HC,9.001994e+02,3.458049e-01,9.000000e+02,9.013630e+02,9.000000e+02
CEC22_F5,NWOA-PS,9.002829e+02,5.743733e-01,9.000000e+02,9.023577e+02,9.000001e+02
CEC22_F5,NWOA-SA,9.001285e+02,2.125213e-01,9.000000e+02,9.006621e+02,9.000007e+02
CEC22_F6,NWOA,4.575214e+04,2.200102e+04,1.049783e+04,8.959535e+04,4.229502e+04
CEC22_F6,NWOA-NM,5.289052e+03,4.811047e+03,1.842419e+03,2.645177e+04,3.878856e+03
CEC22_F6,NWOA-HC,4.881194e+03,3.903711e+03,1.825208e+03,1.608509e+04,2.964842e+03
CEC22_F6,NWOA-PS,2.188901e+03,7.517122e+02,1.809838e+03,4.559646e+03,1.827009e+03
CEC22_F6,NWOA-SA,3.401802e+03,1.968963e+03,1.823400e+03,8.439415e+03,2.531875e+03
CEC22_F7,NWOA,2.191520e+03,1.546781e+02,2.037040e+03,2.720404e+03,2.118557e+03
CEC22_F7,NWOA-NM,2.026762e+03,6.029295e+00,2.003607e+03,2.038166e+03,2.026131e+03
CEC22_F7,NWOA-HC,2.030630e+03,9.526819e+00,2.024487e+03,2.068899e+03,2.027040e+03
CEC22_F7,NWOA-PS,2.030448e+03,6.251467e+00,2.022530e+03,2.053340e+03,2.030422e+03
CEC22_F7,NWOA-SA,2.033661e+03,7.826189e+00,2.025355e+03,2.070620e+03,2.031938e+03
