Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F1,NWOA,5.325513e+03,2.800961e+03,2.130802e+03,1.353811e+04,4.563408e+03
CEC22_F1,NWOA-NM_Full,3.000001e+02,6.670180e-05,3.000000e+02,3.000003e+02,3.000001e+02
CEC22_F1,NWOA-NM_Freq50,3.000002e+02,1.139643e-04,3.000000e+02,3.000005e+02,3.000002e+02
CEC22_F1,NWOA-NM_Cand1,3.000002e+02,1.020501e-04,3.000000e+02,3.000005e+02,3.000002e+02
CEC22_F5,NWOA,9.022450e+02,1.721420e+00,9.001860e+02,9.061656e+02,9.016241e+02
CEC22_F5,NWOA-NM_Full,9.005583e+02,9.194663e-01,9.000000e+02,9.032698e+02,9.000000e+02
CEC22_F5,NWOA-NM_Freq50,9.002996e+02,6.696313e-01,9.000000e+02,9.032725e+02,9.000000e+02
CEC22_F5,NWOA-NM_Cand1,9.005096e+02,8.789796e-01,9.000000e+02,9.039598e+02,9.000895e+02
CEC22_F9,NWOA,2.775628e+03,1.833145e+02,2.500100e+03,3.426153e+03,2.755564e+03
CEC22_F9,NWOA-NM_Full,2.469838e+03,1.816356e+02,2.300007e+03,2.702302e+03,2.300223e+03
CEC22_F9,NWOA-NM_Freq50,2.448033e+03,1.817683e+02,2.300006e+03,2.745605e+03,2.300122e+03
CEC22_F9,NWOA-NM_Cand1,2.456431e+03,1.787280e+02,2.300005e+03,2.668924e+03,2.300296e+03
