Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F1,NWOA,5.276806e+03,2.646537e+03,1.511463e+03,1.114420e+04,4.395517e+03
CEC22_F1,NWOA-PS_Full,3.000003e+02,1.902911e-04,3.000000e+02,3.000010e+02,3.000002e+02
CEC22_F1,NWOA-PS_Freq50,3.000003e+02,2.526505e-04,3.000000e+02,3.000010e+02,3.000002e+02
CEC22_F1,NWOA-PS_Cand1,3.000003e+02,1.645722e-04,3.000000e+02,3.000007e+02,3.000003e+02
CEC22_F5,NWOA,9.026754e+02,2.081279e+00,9.002428e+02,9.073997e+02,9.019944e+02
CEC22_F5,NWOA-PS_Full,9.006992e+02,9.613342e-01,9.000000e+02,9.032747e+02,9.000901e+02
CEC22_F5,NWOA-PS_Freq50,9.003427e+02,4.815209e-01,9.000000e+02,9.018177e+02,9.001351e+02
CEC22_F5,NWOA-PS_Cand1,9.003196e+02,7.760621e-01,9.000000e+02,9.032907e+02,9.000012e+02
CEC22_F9,NWOA,2.782337e+03,1.364565e+02,2.428705e+03,3.198185e+03,2.785956e+03
CEC22_F9,NWOA-PS_Full,2.504759e+03,1.778638e+02,2.300009e+03,2.667869e+03,2.659094e+03
CEC22_F9,NWOA-PS_Freq50,2.481121e+03,1.796379e+02,2.300007e+03,2.670007e+03,2.483248e+03
CEC22_F9,NWOA-PS_Cand1,2.546945e+03,1.751934e+02,2.300006e+03,2.745606e+03,2.659099e+03
