Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F1,NWOA,5.702312e+03,3.572489e+03,1.269897e+03,1.482872e+04,4.748064e+03
CEC22_F1,NWOA-SA_Full,3.000002e+02,1.896497e-04,3.000001e+02,3.000010e+02,3.000002e+02
CEC22_F1,NWOA-SA_Freq50,3.000003e+02,2.493809e-04,3.000000e+02,3.000010e+02,3.000002e+02
CEC22_F1,NWOA-SA_Cand1,3.000003e+02,1.671961e-04,3.000001e+02,3.000008e+02,3.000002e+02
CEC22_F5,NWOA,9.020352e+02,1.550371e+00,9.001261e+02,9.067200e+02,9.015666e+02
CEC22_F5,NWOA-SA_Full,9.000430e+02,1.155515e-01,9.000000e+02,9.004544e+02,9.000000e+02
CEC22_F5,NWOA-SA_Freq50,9.002302e+02,4.838380e-01,9.000000e+02,9.021847e+02,9.000028e+02
CEC22_F5,NWOA-SA_Cand1,9.001941e+02,4.738056e-01,9.000000e+02,9.024001e+02,9.000008e+02
CEC22_F9,NWOA,2.800450e+03,1.936911e+02,2.331134e+03,3.291282e+03,2.773232e+03
CEC22_F9,NWOA-SA_Full,2.326563e+03,8.913892e+01,2.300006e+03,2.659099e+03,2.300373e+03
CEC22_F9,NWOA-SA_Freq50,2.403560e+03,1.639764e+02,2.300007e+03,2.745606e+03,2.301308e+03
CEC22_F9,NWOA-SA_Cand1,2.376174e+03,1.419204e+02,2.300007e+03,2.659171e+03,2.300724e+03
