Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F3,NWOA,6.010607e+02,2.849110e-01,6.004496e+02,6.016121e+02,6.010421e+02
CEC22_F3,NWOA-NM,6.000000e+02,1.274994e-06,6.000000e+02,6.000000e+02,6.000000e+02
CEC22_F3,NWOA-HC,6.000000e+02,1.710834e-07,6.000000e+02,6.000000e+02,6.000000e+02
CEC22_F3,NWOA-PS,6.000000e+02,7.237724e-06,6.000000e+02,6.000000e+02,6.000000e+02
CEC22_F3,NWOA-SA,6.000000e+02,1.286162e-05,6.000000e+02,6.000001e+02,6.000000e+02
CEC22_F4,NWOA,1.093982e+03,6.436303e+01,9.685954e+02,1.213567e+03,1.104003e+03
CEC22_F4,NWOA-NM,9.216483e+02,3.818017e+01,8.540038e+02,9.885437e+02,9.290176e+02
CEC22_F4,NWOA-HC,9.231208e+02,2.333446e+01,8.782051e+02,9.680010e+02,9.180016e+02
CEC22_F4,NWOA-PS,9.338615e+02,3.069327e+01,8.884205e+02,1.014001e+03,9.293167e+02
CEC22_F4,NWOA-SA,9.045015e+02,2.509359e+01,8.463978e+02,9.540763e+02,9.015457e+02
