Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F1,NWOA,29080.22,10301.36,8969.593,52301.34,27460.74
CEC22_F1,NWOA-NM,300.1837,0.09670367,300.052,300.4488,300.1558
CEC22_F1,NWOA-HC,300.0222,0.006836329,300.0109,300.0398,300.023
CEC22_F1,NWOA-PS,301.3154,0.7618818,300.3408,303.6282,301.1474
CEC22_F1,NWOA-SA,302.1087,1.68923,300.531,310.2863,301.687
CEC22_F2,NWOA,1492.792,352.3729,893.7019,2627.302,1454.48
CEC22_F2,NWOA-NM,454.6912,14.0116,408.9924,472.8558,449.1336
CEC22_F2,NWOA-HC,454.3418,9.49673,445.0712,475.2757,449.1124
CEC22_F2,NWOA-PS,455.1582,10.40153,436.6566,473.8389,449.6355
CEC22_F2,NWOA-SA,460.8333,22.11531,421.5826,532.3953,453.088
CEC22_F3,NWOA,601.0607,0.284911,600.4496,601.6121,601.0421
CEC22_F3,NWOA-NM,600.0,1.274994e-06,600.0,600.0,600.0
CEC22_F3,NWOA-HC,600.0,1.710834e-07,600.0,600.0,600.0
CEC22_F3,NWOA-PS,600.0,7.237724e-06,600.0,600.0,600.0
CEC22_F3,NWOA-SA,600.0,1.286162e-05,600.0,600.0001,600.0
CEC22_F4,NWOA,1093.982,64.36303,968.5954,1213.567,1104.003
CEC22_F4,NWOA-NM,921.6483,38.18017,854.0038,988.5437,929.0176
CEC22_F4,NWOA-HC,923.1208,23.33446,878.2051,968.001,918.0016
CEC22_F4,NWOA-PS,933.8615,30.69327,888.4205,1014.001,929.3167
CEC22_F4,NWOA-SA,904.5015,25.09359,846.3978,954.0763,901.5457
CEC22_F5,NWOA,908.0962,2.962017,903.6265,914.3506,907.3028
CEC22_F5,NWOA-NM,903.1909,1.803812,900.4564,907.1553,902.9473
CEC22_F5,NWOA-HC,903.0036,1.591949,900.4544,907.3622,902.6784
CEC22_F5,NWOA-PS,903.3215,2.309073,900.4288,909.1633,902.5376
CEC22_F5,NWOA-SA,902.8614,1.934452,900.1305,908.4716,902.2223
CEC22_F6,NWOA,592331900.0,759325900.0,48997130.0,3889637000.0,329346800.0
CEC22_F6,NWOA-NM,40899.89,11321.41,24022.67,61164.12,39427.53
CEC22_F6,NWOA-HC,41047.29,16438.44,19019.98,70853.29,38722.02
CEC22_F6,NWOA-PS,39250.28,17756.66,13524.27,91296.38,33359.56
CEC22_F6,NWOA-SA,41638.85,15981.66,17018.29,80917.63,39495.5
CEC22_F7,NWOA,4345.308,1220.779,2643.035,7355.615,4126.623
CEC22_F7,NWOA-NM,1998.001,93.10944,1874.765,2159.368,2015.455
CEC22_F7,NWOA-HC,2038.218,111.1786,1880.679,2397.77,2048.189
CEC22_F7,NWOA-PS,2010.631,82.38531,1880.043,2118.724,2055.627
CEC22_F7,NWOA-SA,2006.777,87.09658,1877.042,2130.571,2049.063
CEC22_F9,NWOA,3934.553,933.6514,2832.0,6188.439,3565.803
CEC22_F9,NWOA-NM,2627.221,60.76577,2300.583,2653.951,2637.404
CEC22_F9,NWOA-HC,2637.511,1.567418,2635.746,2643.306,2637.34
CEC22_F9,NWOA-PS,2637.937,1.921049,2635.734,2643.153,2637.282
CEC22_F9,NWOA-SA,2648.553,10.06213,2636.739,2676.19,2645.968
CEC22_F10,NWOA,3227.388,819.35,1029.61,4543.288,3322.126
CEC22_F10,NWOA-NM,109.5963,1139.228,-2054.603,2749.788,70.59747
CEC22_F10,NWOA-HC,352.6961,894.8777,-1123.328,2737.61,183.8659
CEC22_F10,NWOA-PS,791.1782,683.4121,-300.5522,2720.022,762.8461
CEC22_F10,NWOA-SA,1133.893,693.9765,-599.1484,2477.962,1283.236
CEC22_F11,NWOA,5177.755,2156.21,2830.076,11872.73,4485.626
CEC22_F11,NWOA-NM,2600.827,3.356358,2600.062,2618.816,2600.137
CEC22_F11,NWOA-HC,2600.056,0.05530612,2600.019,2600.308,2600.039
CEC22_F11,NWOA-PS,2600.392,0.387997,2600.119,2602.172,2600.259
CEC22_F11,NWOA-SA,2600.671,0.5497443,2600.179,2602.277,2600.454
CEC22_F12,NWOA,3430.791,301.9592,3061.166,4303.97,3373.976
CEC22_F12,NWOA-NM,2979.049,33.8197,2916.801,3069.947,2980.442
CEC22_F12,NWOA-HC,2973.638,34.53975,2919.356,3050.905,2968.971
CEC22_F12,NWOA-PS,2984.563,38.08657,2937.054,3098.482,2980.134
CEC22_F12,NWOA-SA,2963.533,26.25219,2922.827,3023.883,2958.468
CEC22_F8,NWOA,953277.0,4580202.0,2908.01,25453770.0,5896.061
CEC22_F8,NWOA-NM,2249.04,67.36514,2089.676,2363.394,2255.331
CEC22_F8,NWOA-HC,2201.599,121.7957,1914.533,2675.599,2234.325
CEC22_F8,NWOA-PS,2568.212,350.5668,2149.47,3569.622,2440.758
CEC22_F8,NWOA-SA,2603.32,479.9126,2066.859,3903.369,2417.618
