Algorithm,Run,Distance,Time
NWOA,1,16002217.578778489,0.3200521469116211
NWOA,2,16002371.573965585,0.3143477439880371
NWOA,3,16002231.007894766,0.31571221351623535
NWOA,4,16002284.956470799,0.3142735958099365
NWOA,5,16002229.106779227,0.31173133850097656
NWOA,6,16002254.128254723,0.3220388889312744
NWOA,7,16002119.919080652,0.3149228096008301
NWOA,8,16002089.127945367,0.31985974311828613
NWOA,9,16002197.11678257,0.31219482421875
NWOA,10,16002244.752359694,0.32654738426208496
NWOA,11,16002096.331332248,0.31653547286987305
NWOA,12,16002314.961339302,0.3185389041900635
NWOA,13,16002257.247695193,0.3130836486816406
NWOA,14,16002223.044461196,0.31276655197143555
NWOA,15,16002186.51986313,0.32007622718811035
NWOA,16,16002272.840880195,0.3166060447692871
NWOA,17,16002242.7838555,0.32103514671325684
NWOA,18,16002209.044961726,0.3162992000579834
NWOA,19,16002205.808063025,0.3171977996826172
NWOA,20,16002116.212733852,0.31704235076904297
NWOA,21,16002023.977888152,0.31545567512512207
NWOA,22,16002089.475414831,0.3293309211730957
NWOA,23,16002301.668832574,0.3147754669189453
NWOA,24,16002303.821337134,0.3115863800048828
NWOA,25,16002328.575771257,0.3125026226043701
NWOA,26,16002271.611513399,0.30658674240112305
NWOA,27,16002189.495433299,0.31748127937316895
NWOA,28,16002294.130928583,0.32347583770751953
NWOA,29,16002277.09785794,0.31000709533691406
NWOA,30,16002276.125596177,0.3226289749145508
NWOA-NM,1,16001934.120690871,0.37908363342285156
NWOA-NM,2,16002042.1129409,0.38337254524230957
NWOA-NM,3,16001952.194516627,0.3824193477630615
NWOA-NM,4,16002099.72644276,0.3846557140350342
NWOA-NM,5,16002074.284806198,0.37903761863708496
NWOA-NM,6,16001941.097132612,0.4048478603363037
NWOA-NM,7,16002070.157186052,0.39188122749328613
NWOA-NM,8,16002012.87623663,0.38193225860595703
NWOA-NM,9,16002151.00892584,0.3758115768432617
NWOA-NM,10,16002095.304713022,0.37262487411499023
NWOA-NM,11,16002096.32646128,0.39597272872924805
NWOA-NM,12,16001926.98975531,0.3907029628753662
NWOA-NM,13,16001956.031846745,0.3926060199737549
NWOA-NM,14,16002156.815292615,0.39458417892456055
NWOA-NM,15,16002115.224989846,0.3883378505706787
NWOA-NM,16,16002095.124863738,0.3882608413696289
NWOA-NM,17,16001969.0029776,0.38925671577453613
NWOA-NM,18,16002206.95802644,0.37026429176330566
NWOA-NM,19,16002059.83560254,0.3841850757598877
NWOA-NM,20,16001967.783114968,0.3752405643463135
NWOA-NM,21,16002118.576823276,0.3764076232910156
