Function,Algorithm,Iteration,Diversity
CEC22_F1,NWOA,0,363.9271368001831
CEC22_F1,NWOA,1,317.0991427984219
CEC22_F1,NWOA,2,246.52835623545428
CEC22_F1,NWOA,3,210.439948146438
CEC22_F1,NWOA,4,171.09697491298272
CEC22_F1,NWOA,5,142.95167684216716
CEC22_F1,NWOA,6,113.8891753146116
CEC22_F1,NWOA,7,84.51739869383232
CEC22_F1,NWOA,8,67.50799300975989
CEC22_F1,NWOA,9,60.75814108522515
CEC22_F1,NWOA,10,43.012331177911854
CEC22_F1,NWOA,11,33.469685878356806
CEC22_F1,NWOA,12,32.67891007319931
CEC22_F1,NWOA,13,30.47044825798924
CEC22_F1,NWOA,14,24.67502703961042
CEC22_F1,NWOA,15,19.606771713486403
CEC22_F1,NWOA,16,14.454185461594344
CEC22_F1,NWOA,17,10.604973799163496
CEC22_F1,NWOA,18,12.501326029587407
CEC22_F1,NWOA,19,11.78924994503323
CEC22_F1,NWOA,20,10.371245991755378
CEC22_F1,NWOA,21,8.088264512173705
CEC22_F1,NWOA,22,5.9636665340873085
CEC22_F1,NWOA,23,4.91302309757536
CEC22_F1,NWOA,24,5.1299636797212855
CEC22_F1,NWOA,25,4.997891681029793
CEC22_F1,NWOA,26,3.794687309758834
CEC22_F1,NWOA,27,3.2208410569950856
CEC22_F1,NWOA,28,2.83843651224119
CEC22_F1,NWOA,29,2.4774826035932476
CEC22_F1,NWOA,30,2.4698378757167716
CEC22_F1,NWOA,31,1.984813826700633
CEC22_F1,NWOA,32,1.5376136601912551
CEC22_F1,NWOA,33,1.4826882619078012
CEC22_F1,NWOA,34,1.1136493399507392
CEC22_F1,NWOA,35,1.089649074642717
CEC22_F1,NWOA,36,0.8993351414594306
CEC22_F1,NWOA,37,0.9820486375709316
CEC22_F1,NWOA,38,0.8690238264492122
CEC22_F1,NWOA,39,0.575531668569645
CEC22_F1,NWOA,40,0.4204884693244771
CEC22_F1,NWOA,41,0.41720544743018556
CEC22_F1,NWOA,42,0.36378805772282086
CEC22_F1,NWOA,43,0.41242345527207513
CEC22_F1,NWOA,44,0.595610694639795
CEC22_F1,NWOA,45,0.7819756162161957
CEC22_F1,NWOA,46,0.8456182531648828
CEC22_F1,NWOA,47,0.7025344561992033
CEC22_F1,NWOA,48,0.47926667354954233
CEC22_F1,NWOA,49,0.3554013234612776
CEC22_F1,NWOA,50,0.2940729220320293
CEC22_F1,NWOA,51,0.2567118020494167
CEC22_F1,NWOA,52,0.221440733487022
CEC22_F1,NWOA,53,0.12148977943461566
CEC22_F1,NWOA,54,0.0878697577916569
CEC22_F1,NWOA,55,0.054260943788773074
CEC22_F1,NWOA,56,0.044800199050922175
CEC22_F1,NWOA,57,0.024513009552525552
CEC22_F1,NWOA,58,0.023503421300571637
CEC22_F1,NWOA,59,0.02133018498669149
CEC22_F1,NWOA,60,0.01972064990684113
CEC22_F1,NWOA,61,0.018080078204789775
CEC22_F1,NWOA,62,0.01620461655998706
CEC22_F1,NWOA,63,0.014768010269432152
CEC22_F1,NWOA,64,0.01115035177311425
CEC22_F1,NWOA,65,0.008601082838664975
CEC22_F1,NWOA,66,0.006498967420848667
CEC22_F1,NWOA,67,0.004095347449783739
CEC22_F1,NWOA,68,0.00330545336399784
CEC22_F1,NWOA,69,0.0023625941781142946
CEC22_F1,NWOA,70,0.0017606235973845156
CEC22_F1,NWOA,71,0.0012471147911818307
CEC22_F1,NWOA,72,0.0010030410426320588
CEC22_F1,NWOA,73,0.0007410732570205283
CEC22_F1,NWOA,74,0.00040764000742013907
CEC22_F1,NWOA,75,0.0003163693709819719
CEC22_F1,NWOA,76,0.00021513983391482596
CEC22_F1,NWOA,77,0.00014759384456886532
CEC22_F1,NWOA,78,0.0001094392757851798
CEC22_F1,NWOA,79,8.286550044498607e-05
CEC22_F1,NWOA,80,6.075477026956657e-05
CEC22_F1,NWOA,81,3.876154026333941e-05
